Player Name,Club,Goals_Percentile,Shots_Percentile,Shots_On_Target_Percentile,Conversion_Percentile,Attacking_Percentile
Alex Scott,Bournemouth,20.158730158730158,46.666666666666664,23.174603174603174,28.57142857142857,29.64
Abdul Fatawu,Leicester City,20.158730158730158,42.857142857142854,23.174603174603174,28.57142857142857,28.69
Romain Esse,Crystal Palace,48.888888888888886,13.968253968253968,23.174603174603174,28.57142857142857,28.65
Raheem Sterling,Arsenal,20.158730158730158,38.095238095238095,23.174603174603174,28.57142857142857,27.5
Ben Brereton,Southampton,20.158730158730158,38.095238095238095,23.174603174603174,28.57142857142857,27.5
Tommy Doyle,Wolverhampton Wanderers,20.158730158730158,33.49206349206349,23.174603174603174,28.57142857142857,26.35
Timo Werner,Tottenham Hotspur,20.158730158730158,31.9047619047619,23.174603174603174,28.57142857142857,25.95
Willian,Fulham,20.158730158730158,30.476190476190478,23.174603174603174,28.57142857142857,25.6
Wes Burns,Manchester City,20.158730158730158,30.476190476190478,23.174603174603174,28.57142857142857,25.6
Cheick Doucouré,Crystal Palace,20.158730158730158,30.476190476190478,23.174603174603174,28.57142857142857,25.6
Mathias Jensen,Brentford,20.158730158730158,28.41269841269841,23.174603174603174,28.57142857142857,25.08
Sean Longstaff,Newcastle United,20.158730158730158,28.41269841269841,23.174603174603174,28.57142857142857,25.08
Callum Wilson,Newcastle United,20.158730158730158,28.41269841269841,23.174603174603174,28.57142857142857,25.08
Miguel Almirón,Newcastle United,20.158730158730158,28.41269841269841,23.174603174603174,28.57142857142857,25.08
Emiliano Buendía,Aston Villa,20.158730158730158,26.031746031746035,23.174603174603174,28.57142857142857,24.48
Tim Iroegbunam,Everton,20.158730158730158,26.031746031746035,23.174603174603174,28.57142857142857,24.48
Philip Billing,Bournemouth,20.158730158730158,26.031746031746035,23.174603174603174,28.57142857142857,24.48
Odsonne Édouard,Leicester City,20.158730158730158,26.031746031746035,23.174603174603174,28.57142857142857,24.48
Chido Obi,Manchester United,20.158730158730158,26.031746031746035,23.174603174603174,28.57142857142857,24.48
Federico Chiesa,Liverpool,20.158730158730158,26.031746031746035,23.174603174603174,28.57142857142857,24.48
Andy Irving,West Ham United,20.158730158730158,23.65079365079365,23.174603174603174,28.57142857142857,23.89
Jeffrey Schlupp,Crystal Palace,20.158730158730158,23.65079365079365,23.174603174603174,28.57142857142857,23.89
Luis Guilherme,West Ham United,20.158730158730158,23.65079365079365,23.174603174603174,28.57142857142857,23.89
Ali Al-Hamadi,Ipswich Town,20.158730158730158,23.65079365079365,23.174603174603174,28.57142857142857,23.89
Armando Broja,Everton,20.158730158730158,23.65079365079365,23.174603174603174,28.57142857142857,23.89
Renato Veiga,Chelsea,20.158730158730158,21.26984126984127,23.174603174603174,28.57142857142857,23.29
Jeremy Monga,Leicester City,20.158730158730158,21.26984126984127,23.174603174603174,28.57142857142857,23.29
Mikey Moore,Tottenham Hotspur,20.158730158730158,21.26984126984127,23.174603174603174,28.57142857142857,23.29
Adam Lallana,Southampton,20.158730158730158,21.26984126984127,23.174603174603174,28.57142857142857,23.29
Harrison Reed,Fulham,20.158730158730158,21.26984126984127,23.174603174603174,28.57142857142857,23.29
Youssef Chermiti,Everton,20.158730158730158,21.26984126984127,23.174603174603174,28.57142857142857,23.29
James Milner,Brighton,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
Igor Thiago,Brentford,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
Jorginho,Arsenal,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
Carlos Forbs,Wolverhampton Wanderers,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
Albert Grønbæk,Southampton,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
Solly March,Brighton & Hove Albion,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
Roméo Lavia,Chelsea,20.158730158730158,18.73015873015873,23.174603174603174,28.57142857142857,22.66
